Index,Month-Year,Number of Tractor Sold,MA,CMA,st*It,,,,
1,Jan-03,141,,,,,,,
2,Feb-03,157,,,,,,,
3,Mar-03,185,,,,,,,
4,Apr-03,199,,,,,,,
5,May-03,203,,,,,,,
6,Jun-03,189,,,,,,,
7,Jul-03,207,176,176.1666667,1.175023652,,,INDEX,Seasonality
8,Aug-03,207,176.3333333,176.7916667,1.170869668,,,1,
9,Sep-03,171,177.25,177.75,0.962025316,,,2,
10,Oct-03,150,178.25,178.625,0.839748076,,,3,
11,Nov-03,138,179,179.2916667,0.769695561,,,4,
12,Dec-03,165,179.5833333,180.4166667,0.914549654,,,5,
1,Jan-04,145,181.25,182.5416667,0.794339192,,,6,
2,Feb-04,168,183.8333333,185.125,0.907494936,,,7,
3,Mar-04,197,186.4166667,187.5833333,1.050199911,,,8,
4,Apr-04,208,188.75,189.5,1.09762533,,,9,
5,May-04,210,190.25,190.8333333,1.100436681,,,10,
6,Jun-04,209,191.4166667,192.7083333,1.084540541,,,11,
7,Jul-04,238,194,195.5833333,1.216872603,,,12,
8,Aug-04,238,197.1666667,198.5,1.198992443,,,,
9,Sep-04,199,199.8333333,202,0.985148515,,,,
10,Oct-04,168,204.1666667,205.9583333,0.815698968,,,,
11,Nov-04,152,207.75,211.0416667,0.72023692,,,,
12,Dec-04,196,214.3333333,216,0.907407407,,,,
1,Jan-05,183,217.6666667,219.375,0.834188034,,,,
2,Feb-05,200,221.0833333,222.7916667,0.897699645,,,,
,Mar-05,249,224.5,225.875,1.102379635,,,,
,Apr-05,251,227.25,228.75,1.09726776,,,,
,May-05,289,230.25,232,1.245689655,,,,
,Jun-05,249,233.75,235.25,1.058448459,,,,
,Jul-05,279,236.75,238.0833333,1.171858593,,,,
,Aug-05,279,239.4166667,241.0416667,1.157476232,,,,
,Sep-05,232,242.6666667,243.5416667,0.952609068,,,,
,Oct-05,204,244.4166667,245.5833333,0.830675263,,,,
,Nov-05,194,246.75,247.5,0.783838384,,,,
,Dec-05,232,248.25,250.5833333,0.925839707,,,,
,Jan-06,215,252.9166667,254.7083333,0.844102732,,,,
,Feb-06,239,256.5,259,0.922779923,,,,
,Mar-06,270,261.5,262.7916667,1.02742984,,,,
,Apr-06,279,264.0833333,265.625,1.050352941,,,,
,May-06,307,267.1666667,268.625,1.142857143,,,,
,Jun-06,305,270.0833333,271.75,1.122355106,,,,
,Jul-06,322,273.4166667,274.75,1.171974522,,,,
,Aug-06,339,276.0833333,277,1.223826715,,,,
,Sep-06,263,277.9166667,280.4166667,0.937890045,,,,
,Oct-06,241,282.9166667,286.375,0.841553907,,,,
,Nov-06,229,289.8333333,293.0833333,0.78134774,,,,
,Dec-06,272,296.3333333,297.7916667,0.913390234,,,,
,Jan-07,247,299.25,301.25,0.819917012,,,,
,Feb-07,261,303.25,305,0.855737705,,,,
,Mar-07,330,306.75,308.25,1.070559611,,,,
,Apr-07,362,309.75,310.7916667,1.164767395,,,,
,May-07,385,311.8333333,312.25,1.232986389,,,,
,Jun-07,340,312.6666667,313.0416667,1.086117397,,,,
,Jul-07,370,313.4166667,313.8333333,1.178969729,,,,
,Aug-07,381,314.25,313.7916667,1.214181384,,,,
,Sep-07,299,313.3333333,313.2916667,0.954382232,,,,
,Oct-07,266,313.25,312.75,0.850519584,,,,
,Nov-07,239,312.25,312.5833333,0.764596108,,,,
,Dec-07,281,312.9166667,314.1666667,0.894429708,,,,
,Jan-08,257,315.4166667,317.625,0.809130264,,,,
,Feb-08,250,319.8333333,321.0416667,0.77871512,,,,
,Mar-08,329,322.25,323.375,1.017394666,,,,
,Apr-08,350,324.5,325.4583333,1.075406478,,,,
,May-08,393,326.4166667,327.7083333,1.199237127,,,,
,Jun-08,370,329,330.6666667,1.118951613,,,,
,Jul-08,423,332.3333333,334.3333333,1.265204387,,,,
,Aug-08,410,336.3333333,338.8333333,1.210034432,,,,
,Sep-08,326,341.3333333,343.2083333,0.949860386,,,,
,Oct-08,289,345.0833333,347.75,0.831056794,,,,
,Nov-08,270,350.4166667,352.9583333,0.764962814,,,,
,Dec-08,321,355.5,358.4583333,0.895501569,,,,
,Jan-09,305,361.4166667,365.0416667,0.835521059,,,,
,Feb-09,310,368.6666667,371.8333333,0.833706858,,,,
,Mar-09,374,375,377.7916667,0.989963604,,,,
,Apr-09,414,380.5833333,382.9166667,1.08117519,,,,
,May-09,454,385.25,387.125,1.17274782,,,,
,Jun-09,441,389,391.8333333,1.12547852,,,,
,Jul-09,510,394.6666667,396.875,1.28503937,,,,
,Aug-09,486,399.0833333,401.5,1.210460772,,,,
,Sep-09,393,403.9166667,406.8333333,0.965997542,,,,
,Oct-09,345,409.75,412.5833333,0.836194708,,,,
,Nov-09,315,415.4166667,418.75,0.752238806,,,,
,Dec-09,389,422.0833333,425.5416667,0.914129051,,,,
,Jan-10,358,429,431.8333333,0.829023543,,,,
,Feb-10,368,434.6666667,438.0416667,0.84010273,,,,
,Mar-10,444,441.4166667,443.6666667,1.000751315,,,,
,Apr-10,482,445.9166667,447.625,1.076794192,,,,
,May-10,534,449.3333333,451.2083333,1.18348878,,,,
,Jun-10,524,453.0833333,454.7083333,1.152387061,,,,
,Jul-10,578,456.3333333,457.9583333,1.262123556,,,,
,Aug-10,567,459.5833333,460.9166667,1.230157295,,,,
,Sep-10,447,462.25,464.5,0.962325081,,,,
,Oct-10,386,466.75,469,0.823027719,,,,
,Nov-10,360,471.25,473.8333333,0.759760816,,,,
,Dec-10,428,476.4166667,479.2083333,0.893139727,,,,
,Jan-11,397,482,485.0416667,0.818486384,,,,
,Feb-11,400,488.0833333,491.7083333,0.813490382,,,,
,Mar-11,498,495.3333333,497.9166667,1.000167364,,,,
,Apr-11,536,500.5,502.625,1.066401393,,,,
,May-11,596,504.75,506.6666667,1.176315789,,,,
,Jun-11,591,508.5833333,510.3333333,1.158066623,,,,
,Jul-11,651,512.0833333,513.375,1.26807889,,,,
,Aug-11,654,514.6666667,515.625,1.268363636,,,,
,Sep-11,509,516.5833333,516.9583333,0.984605465,,,,
,Oct-11,437,517.3333333,517.3333333,0.844716495,,,,
,Nov-11,406,517.3333333,517.9166667,0.783909895,,,,
,Dec-11,470,518.5,519.25,0.905151661,,,,
,Jan-12,428,520,521.5,0.820709492,,,,
,Feb-12,423,523,525.2083333,0.805394685,,,,
,Mar-12,507,527.4166667,527.4166667,0.961289303,,,,
,Apr-12,536,527.4166667,528.0416667,1.015071412,,,,
,May-12,610,528.6666667,528.9166667,1.153300772,,,,
,Jun-12,609,529.1666667,529.25,1.150684932,,,,
,Jul-12,687,529.3333333,530.4166667,1.29520817,,,,
,Aug-12,707,531.5,532.8333333,1.32686894,,,,
,Sep-12,509,534.1666667,536.7083333,0.948373573,,,,
,Oct-12,452,539.25,542.3333333,0.833435771,,,,
,Nov-12,412,545.4166667,549.4166667,0.749886243,,,,
,Dec-12,472,553.4166667,555.5833333,0.849557522,,,,
,Jan-13,454,557.75,561.0833333,0.809148968,,,,
,Feb-13,455,564.4166667,567.5833333,0.801644399,,,,
,Mar-13,568,570.75,573.8333333,0.989834447,,,,
,Apr-13,610,576.9166667,579.4583333,1.05270727,,,,
,May-13,706,582,584.875,1.207095533,,,,
,Jun-13,661,587.75,591.7083333,1.117104429,,,,
,Jul-13,767,595.6666667,598.625,1.281269576,,,,
,Aug-13,783,601.5833333,604.2916667,1.295731918,,,,
,Sep-13,583,607,607.7916667,0.959210256,,,,
,Oct-13,513,608.5833333,612.75,0.837209302,,,,
,Nov-13,481,616.9166667,620.5416667,0.775129255,,,,
,Dec-13,567,624.1666667,627.8333333,0.90310592,,,,
,Jan-14,525,631.5,635.8333333,0.825688073,,,,
,Feb-14,520,640.1666667,642.875,0.80886642,,,,
,Mar-14,587,645.5833333,647.9583333,0.905922449,,,,
,Apr-14,710,650.3333333,653.1666667,1.087011993,,,,
,May-14,793,656,657.5833333,1.205930807,,,,
,Jun-14,749,659.1666667,660.75,1.133560348,,,,
,Jul-14,871,662.3333333,662.3333333,1.315047811,,,,
,Aug-14,848,,,,,,,
,Sep-14,640,,,,,,,
,Oct-14,581,,,,,,,
,Nov-14,519,,,,,,,
,Dec-14,605,,,,,,,
